Search ID,City,Region,Country,Latitude,Longitude,Start Date,End Date,Searched At,Temperature C,Feels Like C,Humidity,Wind Speed KPH,Condition,UV Index,Pressure MB,Visibility KM,Forecast Date,Average Temperature C,Maximum Temperature C,Minimum Temperature C,Forecast Humidity,Maximum Wind KPH,Chance Of Rain,Forecast Condition,Forecast Icon
2,London,"City of London, Greater London",United Kingdom,51.5171,-0.1062,2026-07-17,2026-07-22,2026-07-17T09:11:28.653Z,19.3,19.3,68,9.4,Sunny,3.8,1017,10,2026-07-17,22.6,29.4,16.2,47,16.9,2,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
2,London,"City of London, Greater London",United Kingdom,51.5171,-0.1062,2026-07-17,2026-07-22,2026-07-17T09:11:28.653Z,19.3,19.3,68,9.4,Sunny,3.8,1017,10,2026-07-18,20,27.6,14.9,54,25.2,57,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
2,London,"City of London, Greater London",United Kingdom,51.5171,-0.1062,2026-07-17,2026-07-22,2026-07-17T09:11:28.653Z,19.3,19.3,68,9.4,Sunny,3.8,1017,10,2026-07-19,17.6,23.9,11.7,49,19.1,2,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
2,London,"City of London, Greater London",United Kingdom,51.5171,-0.1062,2026-07-17,2026-07-22,2026-07-17T09:11:28.653Z,19.3,19.3,68,9.4,Sunny,3.8,1017,10,2026-07-20,18.1,24.1,12.3,46,18.4,3,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
2,London,"City of London, Greater London",United Kingdom,51.5171,-0.1062,2026-07-17,2026-07-22,2026-07-17T09:11:28.653Z,19.3,19.3,68,9.4,Sunny,3.8,1017,10,2026-07-21,20.6,26.5,14.6,53,10.8,5,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
2,London,"City of London, Greater London",United Kingdom,51.5171,-0.1062,2026-07-17,2026-07-22,2026-07-17T09:11:28.653Z,19.3,19.3,68,9.4,Sunny,3.8,1017,10,2026-07-22,19.7,22.2,16.7,58,16.9,57,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
1,Manchester,Greater Manchester,United Kingdom,53.483,-2.2501,2026-07-18,2026-07-22,2026-07-17T09:11:08.710Z,24.2,25.2,54,3.6,Partly Cloudy,3.4,1017,10,2026-07-18,17.4,22,13.1,57,19.8,57,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
1,Manchester,Greater Manchester,United Kingdom,53.483,-2.2501,2026-07-18,2026-07-22,2026-07-17T09:11:08.710Z,24.2,25.2,54,3.6,Partly Cloudy,3.4,1017,10,2026-07-19,16.3,23,8.6,48,13.7,2,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
1,Manchester,Greater Manchester,United Kingdom,53.483,-2.2501,2026-07-18,2026-07-22,2026-07-17T09:11:08.710Z,24.2,25.2,54,3.6,Partly Cloudy,3.4,1017,10,2026-07-20,18,23.5,11.8,55,11.9,6,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
1,Manchester,Greater Manchester,United Kingdom,53.483,-2.2501,2026-07-18,2026-07-22,2026-07-17T09:11:08.710Z,24.2,25.2,54,3.6,Partly Cloudy,3.4,1017,10,2026-07-21,18.6,24.3,13.3,63,19.1,8,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png
1,Manchester,Greater Manchester,United Kingdom,53.483,-2.2501,2026-07-18,2026-07-22,2026-07-17T09:11:08.710Z,24.2,25.2,54,3.6,Partly Cloudy,3.4,1017,10,2026-07-22,17.8,21.8,13.6,64,16.6,9,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png
